スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
Star Revenge 4: The Kedama Takeover,Parallel Lakitu Camera,BroDute & Kaze & aglab2,97,,TKT64-parallellakitu,
Star Revenge 4: The Kedama Takeover,1.1.1,BroDute,100,2019-08-03,Star Revenge 4 - The Kedama Takeover v1.1.1,
Star Revenge 4: The Kedama Takeover,1.1,BroDute,100,2019-08-03,Star Revenge 4 - The Kedama Takeover v1.1,
Star Revenge 4.5: The Kedama Takeover Rewritten,1.0,BroDute,100,2016-09-23,Star Revenge 4.5 - The Kedama Takeover Rewritten v1.0,
Star Revenge 4.5: The Kedama Takeover Rewritten,1.1,BroDute,100,2016-09-23,Star Revenge 4.5 - The Kedama Takeover Rewritten V1.1,
Star Revenge 4.5: The Kedama Takeover Rewritten,1.2,BroDute,100,2018-09-29,Star Revenge 4.5 - The Kedama Takeover Rewritten v1.2,
Star Revenge 5: Neo Blue Realm,,BroDute,70,2016-12-26,Star Revenge 5 Neo Blue Realm,
Star Revenge 5: Neo Blue Realm,1.0,BroDute,70,2016-12-26,Star Revenge 5 Neo Blue Realm 1.0,
Star Revenge 5: Neo Blue Realm,1.1,BroDute,70,2016-12-26,Star Revenge 5 Neo Blue Realm v1.1,
Star Revenge 5: Neo Blue Realm,1.1a,BroDute,70,2016-12-26,Star Revenge 5 Neo Blue Realm v1.1a,
Star Revenge 5: Neo Blue Realm,1.2,BroDute,70,2018-09-30,Star Revenge 5 Neo Blue Realm v1.2,
Star Revenge 5: Neo Blue Realm,1.3,BroDute,70,2018-09-30,Star Revenge 5 Neo Blue Realm v1.3,
Star Revenge 5.5: Destroyed Memories,1.0.1,BroDute,70,2018-01-26,Star Revenge 5.5 DM v1.0.1,
Star Revenge 5.5: Destroyed Memories,1.0.2,BroDute,70,2018-01-26,Star Revenge 5.5 DM v1.0.2,
Star Revenge 5.5: Destroyed Memories,1.0,BroDute,70,2018-01-26,Star Revenge 5.5 DM 1.0,
Star Revenge 5.5: Destroyed Memories,1.1,BroDute,70,2018-01-26,Star Revenge 5.5 DM v1.1,
Star Revenge 6: Luigi's Adventure,1.0,BroDute,120,2014-07-14,SM64 StarRevenge 6 - Luigis Adventure v1.0,
Star Revenge 6: Luigi's Adventure,1.1,BroDute,120,2014-07-14,SM64 StarRevenge 6 - Luigis Adventure v1.1,
Star Revenge 6: Luigi's Adventure,1.2,BroDute,120,2014-07-14,Star Revenge 6 Luigis Adventure v1.2,
Star Revenge 6: Luigi's Adventure,1.3.1,BroDute,121,2018-08-10,Star Revenge 6 Luigis Adventure v1.3.1,
Star Revenge 6: Luigi's Adventure,1.3,BroDute,121,2018-08-10,Star Revenge 6 Luigis Adventure v1.3,
Star Revenge 6.25: Luigi's Adventure DX,Demo 1 1.0.1,BroDute,50,2019-06-28,Star Revenge 6.25 Demo v1.0.1,
Star Revenge 6.25: Luigi's Adventure DX,Demo 1 1.0,BroDute,50,2019-06-28,Star Revenge 6.25 F3 Demo,
Star Revenge 6.25: Luigi's Adventure DX,1.0.1,BroDute,211,2019-12-18,Star Revenge 6.25 - LADX v1.0.1,
Star Revenge 6.25: Luigi's Adventure DX,1.0.2.1 (patch),BroDute,210,2019-12-18,Star Revenge 6.25 - LADX v1.0.2.1,
Star Revenge 6.25: Luigi's Adventure DX,1.0.2,BroDute,210,2019-12-18,Star Revenge 6.25 - LADX v1.0.2,
Star Revenge 6.25: Luigi's Adventure DX,1.0,BroDute,211,2019-12-18,Star Revenge 6.25 Luigis Adventure DX 1.0,
Star Revenge 6.25: Luigi's Adventure DX,1.1 (patch),BroDute,216,2020-01-26,Star Revenge 6.25 - LADX v1.1,
Star Revenge 6.5: Wrath of the Dimensional Flower,1.0,BroDute,70,2014-08-01,SM64 StarRevenge 6.5 - Wrath of the Dim. Flower v1.0,
Star Revenge 6.5: Wrath of the Dimensional Flower,1.1.1,BroDute,70,2018-08-17,Star Revenge 6.5 Wrath of the Dim. Flower v1.1.1,
Star Revenge 6.5: Wrath of the Dimensional Flower,1.1,BroDute,70,2018-08-17,Star Revenge 6.5 Wrath of the Dim. Flower v1.1,
Star Revenge 6.5: Wrath of the Dimensional Flower,1.1 (non-published),BroDute,70,2014-08-01,SM64 StarRevenge 6.5 - Wrath of the Dim. Flower v1.1,
Star Revenge 6.9: Luigi Lost in Time,1.0,BroDute,25,2015-10-13,Star Revenge 6.9 - Luigi lost in Time,
Star Revenge 6.9: Luigi Lost in Time,1.1,BroDute,27,2019-06-20,Star Revenge 6.9 - Luigi lost in Time v1.1,
Star Revenge 7: Park of Time,Demo,BroDute,62,,StarRevenge7Demo,
Star Revenge 7: Park of Time,Parallel Lakitu Camera,BroDute & aglab2,120,,Star Revenge 7 Park of Time-parallellakitu,
Star Revenge 7: Park of Time,1.0,BroDute,120,2014-12-19,Star Revenge 7 Park of Time v1.0,
Star Revenge 7: Park of Time,1.1,BroDute,121,2019-06-16,Star Revenge 7 Park of Time v1.1,
Star Revenge 7.5: Kedowser's Return,,BroDute,130,2015-03-05,Star Revenge 7.5 Kedowsers Return,
Star Revenge 7.5: Kedowser's Return,1.0.1a,BroDute,130,2015-03-05,Star Revenge 7.5 Kedowsers Return v1.0.1a,
Star Revenge 7.5: Kedowser's Return,1.0,BroDute,130,2015-03-05,Star Revenge 7.5 Kedowsers Return 1.0,
Star Revenge 7.5: Kedowser's Return,1.1,BroDute,131,2019-06-20,Star Revenge 7.5 Kedowsers Return 1.1,
Star Revenge 8: Scepter of Hope,Course 5 Demo,BroDute,,,SM64 StarRevenge 8 - Scepter of Hope [f1] Couse 5,
Star Revenge 8: Scepter of Hope,1.0,BroDute,121,2016-03-16,Star Revenge 8 1.0,
Star Revenge 8: Scepter of Hope,1.1,BroDute,121,2016-03-16,Star Revenge 8 v1.1 SoH,
Star Revenge 8: Scepter of Hope,1.2b,BroDute,121,2016-03-16,Star Revenge 8 Scepter of Hope 1.2b,
Star Revenge 8: Scepter of Hope,1.3,BroDute,121,2016-03-16,Star Revenge 8 SoH v1.3,
Star Revenge Redone,1.0? Chaos Edition 1.0,BroDute & (Kaze?),105,,StarRevenge 1.0 Redone - Chaos Edition [English],
Star Revenge Redone,1.0? Deutsch,BroDute,105,2013-02-10,SM64 StarRevenge Redone Deu,
Star Revenge Redone,1.0? English,BroDute,105,2013-02-10,SM64 StarRevenge Redone Eng,
Star Revenge Redone,1.1? English,BroDute,105,2013-02-10,SM64 StarRevenge-redone possible v1.1 Eng,
Star Revenge Redone,1.3 (Meme),BroDute,0,,Star Revenge 1.3 - Redone 1.3 v2.0,
Star Revenge Redone,1.3 Deutsch,BroDute,106,2013-02-10,SM64 StarRevenge Redone V1.3 Deu,
Star Revenge Redone,1.3 English,BroDute,106,2013-02-10,SM64 StarRevenge Redone V1.3 Eng,
Star Revenge Redone,1.3 Multiplayer 1.2,BroDute & TheGael95,106,,StarRevenge redone Multiplayer v1.2,
Star Revenge Redone,2.0.1,BroDute,121,2015-08-14,Star Revenge Redone v2.0.1,
Star Revenge Redone,2.0.1 Multiplayer,BroDute & TheGael95,121,,Star Revenge Redone v2.0.1 - Multiplayer,
Star Revenge Redone,2.0.2,BroDute,121,2015-08-14,Star Revenge Redone v2.0.2,
Stars of Chaos 64,Course 1 Demo,SkyNigh,,,Stars of Chaos 64 Course 1 Demo,
STUPID BALLZ,1.0,CartoonBuffoon,80,,STUPID BALLZ,
STUPID BALLZ,Demo,CartoonBuffoon,,,STUPID BALLS demo,
Sub-Par Frankie 64,0.1,Real_RUBB3R,,,Sub-Par Frankie 65 0.1,
Sub-Par Frankie 64,0.2,Real_RUBB3R,,,Sub-Par Frankie 65 0.2,
Sub-Par Frankie 64,0.3,Real_RUBB3R,,,Sub-Par Frankie 65 0.3,
Sub-Par Frankie 64,0.4,Real_RUBB3R,,,Sub-Par Frankie 65 0.4,
Sub-Par Frankie 64,0.5,Real_RUBB3R,,,Sub-Par Frankie 65 0.5,
Sub-Par Frankie 64,0.6,Real_RUBB3R,,,Sub-Par Frankie 65 0.6,
Sub-Par Frankie 64,0.7,Real_RUBB3R,,,Sub-Par Frankie 65 0.7,
Sub-Par Frankie 64,0.8,Real_RUBB3R,,,Sub-Par Frankie 65 0.8,
Sub-Par Frankie 64,0.9,Real_RUBB3R,,,Sub-Par Frankie 65 0.9,
Sub-Par Frankie 64,1.0,Real_RUBB3R,,,Sub-Par Frankie 65 1.0,
Sub-Par Frankie 64,1.1,Real_RUBB3R,,,Sub-Par Frankie 65 1.1,
Summer SRM Star Adventure,1.0,scuttlebug_raiser,124,,Summer SRM Star Adventure 1.0,
Summer SRM Star Adventure,1.0 Fixed,scuttlebug_raiser,124,,Summer SRM Star Adventure v1.0_fixed,
Summer SRM Star Adventure,Pre-Release,scuttlebug_raiser,124,,Summer SRM Star Adventure pre-release,
Sunset Ceremony,1.0,usernamesarespiders,,2019-09-19,Sunset Ceremony,SimpleFlips Competition 9
Sunshine 64,1.0,Kaze,20,,Sunshine 64,
Sunshine Dive Physics Hacks [pack],,blakeoramo,,,Sunshine Dive Physics,
Sunshine Secret Book 64,1.0,Dan-GPTV,40,2019-12-02,Sunshine Secret Book 64 v1.0 BPS,
Super Astaroth 64,1.0,Astaroth,24,,Super Astaroth 64,
Super Astaroth 64 EE,1.0,Astaroth,1,,Super Astaroth 64 EE,
Super Bandy Rescue 64,1.0,Team Cornersoft,,2018-06-17,Super Bandy Rescue 64 - Team Cornersoft,SimpleFlips Competition 1
Super Banjo-Tooie 64,Deutsch,UED,49,2014-12-24,Super Banjo Tooie 64 Ger,
Super Banjo-Tooie 64,English,UED,49,2014-12-24,Super Banjo Tooie 64 Eng,
Super Banjo-Kazooie 64,Beta Deutsch,UED,32,,Super Banjo-Kazooie 64 Beta Germany,
Super Banjo-Kazooie 64,Beta English,UED,32,,Super Banjo-Kazooie 64 Beta English,
Super Banjo-Kazooie 64,Demo,UED,1,,Super Banjo-Kazooie 64 Demo,
Super Banjo-Kazooie 64 REDUX,Demo 1.0.1,Trenavix,18,,SuperBK64Redux_DEMO_v1.01,
Super Beuca 64,1.0,SmithJrBlaquaLuigi,,,Super Beuca 64,
Super Captain Falcon 64,1.0,PastaPower,120,,Captain Falcon 64,
Super Captain Falcon 64,1.2,PastaPower,120,,Super Captain Falcon 64 1.2,
Super Cunt 420,1.0,Nambona890,,,Super Cunt 420,
Super DK 64,1.0,Camden1101,,,Super DK 64,
Super Donkey Kong 64,1.0,Kaze,50,2016-04-17,Super dk64,
Super Donkey Kong 64,Beta,Kaze,,,Super dk64 - Beta,
Super Dorrie Racing 64,1.0,Kaze,0,,Super Dorrie Racing,
Super Draegast 64,1.0,RockMyForum,,,Super Draegast 64,
Super Duber Mountain,1.0,Tomatobird8,7,,Super Duber Mountain,
Super Duper Mario 64,1.0,Mario By Truman,,,Super Duper Mario 64,
Super Event Horizon,1.1,SheeshFr & Benjamin Wolf,30,2019-10-18,Super Event Horizon v1.1 (FINAL),SimpleFlips Competition 10
Super Evil 64,Alpha 1.0,LogoBro,,,Super Evil 64 (Alpha) v1.0,
Super Exploshi 64,1.0,Exploshi,,,Super Exploshi 64,
Super Gay 64,1.0,,,,Super Gay 64,
Super Kaizo Star Road,1.0,Skelux & loohhoo,130,2019-02-24,Super Kaizo Star Road 1.0,
Super Kaizo Star Road,1.1,Skelux & loohhoo,130,2019-02-24,Super Kaizo Star Road 1.1,
Super Kirby 64,1.0,Dudaw12,,,Super Kirby 64,
Super Linear Land,2.0,Waluigi Hacker,,,Super Linear Land,
Super Lugmillord 74,1.0,Lugmillord & NormalX71,,,Super Lugmillord 74,
Super Luigi 64 (Joel),1.0 Español,JoelElProXD5,108,,Super Luigi 64 JoelELPROXD5,
Super Luigi 64 (Joel),1.0 Multiplayer,JoelElProXD5,108,,Super Luigi 64 - Multiplayer Edition JoelELPROXD5,
Super Luigi 64 (Joel),1.0 English,JoelElProXD5,108,,Super Luigi 64 e,
Super Luigi 64 (Cjes),1.0,Cjes,120,,Super Luigi 64 char hack,
Super Luigi 64 (Cjes),1.1,Cjes,120,,Super Luigi 64 v1.1 char hack emu,
Super Luigi 64 (Cjes),1.1 Everdrive,Cjes,120,,Super Luigi 64 v1.1 char hack ed64,
Super Luigi 64 (True64),2.0,True64,120,,Super Luigi 64 v2.0,
Super Luigi 64 Annoying Edition,1.0,Snowy,,,Super Luigi 64 Annoying Edition,
Super Luigi 64 Bowser's Serious Revenge,1.0,homerfunky,,,SM64 Bowsers Serious Revenge,
Super Luigi Galaxy 64,Demo 1,Mario42 Gls42,,,Super Luigi Galaxy 64 Demo 1,
Super Luigi Galaxy 64,Demo 2,Mario42 Gls42,,,Super Luigi Galaxy 64 Demo 2,
Super Luigi Star Road,1.0,Skelux,130,,Super Luigi Star Road,
Super Luigi Star Road,1.1,Skelux,130,,Super Luigi Star Road v1.1,
Super Luigi Star Road,1.2,Skelux,130,,Super Luigi Star Road v1.2,
Super Marcron 64,1.0,Biobak,,,macron,
Super Mario & Planet Stardust's Rampage,1.0,Fares242,111,2013-09-04,Super Mario & Planet Stardusts Rampage v1.0,
Super Mario & Planet Stardust's Rampage,1.1,Fares242,111,2013-09-04,Super Mario & Planet Stardusts Rampage v1.1,
Super Mario & Planet Stardust's Rampage,1.2,Fares242,111,2013-09-04,Super Mario & Planet Stardusts Rampage v1.2,
Super Mario & Planet Stardust's Rampage,1.3,Fares242,111,2013-09-04,Super Mario & Planet Stardusts Rampage v1.3,
Super Mario & Planet Stardust's Rampage,2.0?,Fares242,111,2013-09-04,Super Mario & Planet Stardusts Rampage Possible v2.0,
Super Mario & The Big Power Star Hunt (early SM&PSR),1.0,Fares242,88,,Super Mario & The Big Power Star Hunt,
Super Mario & The Missing Memories,Demo,MarioHacker14,,,Super Mario & the missing memories DEMO,
Super Mario 128,1.0,RJWaters2,46,2008-04-20,SM128,
Super Mario 32,1.0?,Progji,32,2017-09-06,Super Mario 32,
Super Mario 32,1.1,Progji,32,2017-09-06,Super Mario 32v1.1,
Super Mario 32,2.0,Progji,45,,Super Mario 32v2.0,
Super Mario 32,2.1,Progji,45,2018-08-30,Super Mario 32v2.1,
Super Mario 32,2.2 Everdrive v2,Progji,45,,SM32V2.2 (ED Version)2,
Super Mario 32,2.2 Everdrive,Progji,45,,SM32V2.2N64,
Super Mario 32,2.2,Progji,45,,Super Mario 32v2.2,
Super Mario 3D World 64,,Kaze,120,,SM3DW64,
Super Mario 3D World 64,3.0,Kaze,120,,SM3dW643.0,
Super Mario 420 (by IllumiNavi),1.0,IllumiNavi,,,Super Mario 420,
Super Mario 64 - A New Adventure - Beta Worlds,Demo,lezg_g,14,,Super Mario 64 - A New Adventure - Beta Worlds Demo,
Super Mario 64 - A New Adventure,Demo 1,lezg_g,,,Super Mario 64 - A New Adventure Demo,
Super Mario 64 - Beta Restoration - Stolen Castle,1.0,SuperMarioSan100,,,Super Mario 64 - Beta Restoration - Stolen Castle,
Super Mario 64 - Christmas Carnival Special,1.0,Skelux,3,2010-12-23,Super Mario 64 - Christmas Carnival Special,
Super Mario 64 - Easy Worlds,1.0,Pilzinsel64,38,,Super Mario 64 - Easy Worlds v1.0 + chaos + multip,
Super Mario 64 - Mario Dream,1.0,Camden1101,,,Super Mario 64-Mario Dream V1.0,
Super Mario 64 - The Final Star,1.0,Toxic Plays Stuff,1,,Super Mario 64 - The Final Star v1.0,
Super Mario 64 - The Final Star,1.1,Toxic Plays Stuff,1,,The Final Star v1.1,
Super Mario 64 - The Final Star 2,1.0,Toxic Plays Stuff,1,,The Final Star 2,
Super Mario 64 - The Missing Stars,1.1,frauber,38,2009-05-02,Super Mario 64 - The Missing Stars v1.1,
Super Mario 64 - The Missing Stars,1.2,frauber,38,2009-05-02,Super Mario 64 - The Missing Stars v1.2,
Super Mario 64 - The Missing Stars,2.0 Console Compatible,frauber & David,38,2009-05-02,The missing stars console compatible,
Super Mario 64 - The Secret Stars,1.0,9fly & furte,12,,Super mario 64 - The Secret Stars,
Super Mario 64 - Twisted Adventures,Beta (OW1 & OW2),SomeRussianMarioDude,,,SM64 Twisted Adventures Beta no_bowser2,
Super Mario 64 - Twisted Adventures,1.0,SomeRussianMarioDude,151,2012-06-01,Super Mario 64 - Twisted Adventures v1.0,
Super Mario 64 - Twisted Adventures,1.1,SomeRussianMarioDude,151,2012-06-01,Super Mario Twisted Adventures,
Super Mario 64 - Twisted Adventures,1.1 (Broken),SomeRussianMarioDude,151,2012-06-01,Super Mario 64 - Twisted Adventures v1.1,
Super Mario 64 - Twisted Adventures,2.0,SomeRussianMarioDude & LinCrash,151,2012-06-01,Super Mario 64 - Twisted Adventures 2.0,
Super Mario 64 - Twisted Adventures,2.1,SomeRussianMarioDude & LinCrash,151,2012-06-01,Super Mario 64 - Twisted Adventures 2.1,
Super Mario 64 - Twisted Adventures 2,Demo,SomeRussianMarioDude,26,,SM64 Twisted Adv 2,
Super Mario 64 - Twisted Adventures: Intense Challenge - The Revival,Dev Archive,Tomatobird8 & SomeRussianMarioDude,,,TAIC Development Archive,
Super Mario 64 - Twisted Adventures: Intense Challenge - The Revival,1.0,Tomatobird8 & SomeRussianMarioDude,151,2019-09-27,Super Mario 64 - Twisted Adventures Intense Challenge - The Revival v1.0,
Super Mario 64 - Twisted Adventures: Intense Challenge,Demo,SomeRussianMarioDude,33,,SM64 Twisted Adventures -  Intense Challenge,
Super Mario 64 - Year of the Plumber,Beta 1,DobieMeltfire,16,,Super Mario 64 - Year of the Plumber Beta1 07-21-2013,
Super Mario 64 - Year of the Plumber,C3 Demo,DobieMeltfire,16,,Super Mario 64 - Year of the Plumber C3 Demo 07-12-2013,
Super Mario 64 (Alpha),1.0,Ghele Chris,,,Super Mario 64 Alpha,
Super Mario 64 (U) [!] modded_8019C828,1.0,Biobak,,2019-6-19,Super Mario 64 U [!] modded_8019C828,SimpleFlips Competition 8
Super Mario 64 1.5 - Ztar Attack,Beta 062917,TheGael95,,,Super Mario 64 1.5 - Ztar Attack - 062917 build,
Super Mario 64 1.5 - Ztar Attack,C3 Demo Revision 4,TheGael95,,,Super Mario 64 1.5 - Ztar Attack C3 Demo Revision 4,
Super Mario 64 1.5 - Ztar Attack,1.0,TheGael95,171,2017-07-31,Super Mario 64 1.5 Ztar Attack! 1.0,
Super Mario 64 1.5 - Ztar Attack,1.0a,TheGael95,171,2017-07-31,Super Mario 64 1.5 Ztar Attack v1.0a,
Super Mario 64 1.5 - Ztar Attack,1.1,TheGael95,170,2017-07-31,Super Mario 64 1.5 Ztar Attack v1.1,
Super Mario 64 1.5 - Ztar Attack,1.1a,TheGael95,170,2017-07-31,Super Mario 64 1.5 Ztar Attack v1.1a,
Super Mario 64 1.5 - Ztar Attack,1.1b,TheGael95,170,2017-07-31,Super Mario 64 1.5 Ztar Attack v1.1b,
Super Mario 64 1.5 - Ztar Attack,1.2,TheGael95,170,2017-07-31,Super Mario 64 1.5 Ztar Attack v1.2,
Super Mario 64 1.5 - Ztar Attack,1.2a,TheGael95,170,2017-07-31,Super Mario 64 1.5 - Ztar Attack,
Super Mario 64 1.5 - Ztar Attack,1.2a nocrash,TheGael95 & aglab2,170,2017-07-31,ZA1.2a-nocrash,
Super Mario 64 1.5 - Ztar Attack Rebooted,1.0,aglab2 & TheGael95,170,2019-03-15,Ztar Attack Rebooted,
Super Mario 64 1.5 - Ztar Attack Rebooted,1.1,aglab2 & TheGael95,170,2019-03-15,Ztar Attack Rebooted v1.1,
Super Mario 64 1.5 - Ztar Attack Rebooted,1.2,aglab2 & TheGael95,170,2019-03-15,Ztar Attack Rebooted v1.2,
Super Mario 64 2,Deutsch,,,,Super Mario 64 2,
Super Mario 64 2nd Beta Revival,Beta 1,Dudaw12,,,Super Mario 64 2nd Beta Revival Beta1,
Super Mario 64 2nd Beta Revival WF Hack (Level 24 Mountain),1.0,Dudaw12,,,Super Mario 64 - 2nd Beta Revival WF Hack Level 24 Mountain,
Super Mario 64 3,Deutsch,,,,Super Mario 64 3,
Super Mario 64 3 Star Challenge,1.0,Camden1101,3,,Super Mario 64 3 Star Challenge,
Super Mario 64 4,Deutsch,,,,Super Mario 64 4,
Super Mario 64 7 étoiles,1.0,Frame4Head,,,Super_Mario 64 7 étoiles,
Super Mario 64 Amber Road,1.0,Blue Block Gaming,14,,Super Mario 64 Amber Road,
Super Mario 64 and the Colorless Kingdom,1.0,Camden1101,,,Super Mario 64 and the Colorless Kingdom,
Super Mario 64 Beta Mix,0.1b,Shadow Mario,,,Super Mario 64 Beta Mix 01b,
Super Mario 64 Beta Mix Widescreen,0.1b Widescreen,Shadow Mario,,,Super Mario 64 Beta Mix Widescreen 0.1b,
Super Mario 64 Beta Remake Reality95,Demo,AmethystComet,,,WIP R95 Rerelease,
Super Mario 64 Beta Replica (Ultra64),1.0,Ultra64,,2018-08-31,Super Mario 64 Beta Replica Ultra64,
Super Mario 64 Beta Replica Project,Demo,Dudaw12,,,Super Mario 64 Beta Replica Project Demp,
Super Mario 64 Beta Restoration,1.0,SuperMarioSan100,,,Master M in Super Mario 64 Beta,
Super Mario 64 Bob-omb Richard's Mastertest,1.0,MrMarioTendo,47,,Super Mario 64 Bob Omb Richards Mastertest U [!],
Super Mario 64 Bob-omb Richard's Mastertest 2,1.0,FramePerfection,40,,Mastertest2,
Super Mario 64 Bowser's Plan (+ Luigi),1.0,MarvJungs,128,,Super Mario 64 Bowsers Plan U [!],
Super Mario 64 Caasje Edeition,1.0,Caasje,125,,Super Mario 64 Caas Edeition,
Super Mario 64 Christmas Special,1.0,Mizu,,,Super_Mario_64_U_ [!]. Especial Navidad,
Super Mario 64 Curling Minigame,Deutsch,FrittenFriseurLPs,,,Super Mario 64 - Curling Ger,
Super Mario 64 Curling Minigame,English,FrittenFriseurLPs,,,Super Mario 64 - Curling Eng,
Super Mario 64 Dab Edition,1.0,Kaze,,,Super Mario 64 - Dab Edition,
Super Mario 64 Dark Dawn,1.0,,,,Super Mario 64 Dark Dawn,
Super Mario 64 Dream Kingdom - Very Small Village,1.0,Domenic1407,7,2015-03-17,Super Mario 64 Dream Kindom Very small Village,SirRouven's Hack Pack
Super Mario 64 EE,Demo,Yoshistar95,10,,Super Mario 64 EE 10 stars demo,
Super Mario 64 Extra,1.0,Tomatobird8,30,2016-12-01,Super Mario 64 Extra v1.0,
Super Mario 64 Extreme,Deutsch,blackshadowdrybones,,,Super Mario 64 extreme,
Super Mario 64 Frozen World,Demo Deutsch,Javier Jafuenf,15,,Super Mario 64 Frozen World Demo Deu,
Super Mario 64 GP64,1.0,GameProfi64,,,Super Mario 64 GP64 Test,
Super Mario 64 Halloween Special,1.0,Mizu,,,Super_Mario_64_U_[!][1]. Especial Halloween,
Super Mario 64 Hard Mode,1.0,Pokemon Ruby,,,Super Mario 64 Hard Mode,
Super Mario 64 HARDCORE,1.0,Erableto,120,2018-08-27,Super Mario 64 HARDCORE 1.0,
Super Mario 64 HARDCORE,1.0.1,Erableto,120,2018-08-29,Super Mario 64 HARDCORE 1.0.1,
Super Mario 64 HARDCORE,1.2,Erabelto,120,2018-12-14,Super Mario 64 HARDCORE 14122018,
Super Mario 64 HARDCORE,1.0.2,Erableto,120,2018-08-29,Super Mario 64 HARDCORE 1.0.2,
Super Mario 64 HARDCORE,1.4,Erabelto,120,2018-12-15,Super Mario 64 HARDCORE 251218,
Super Mario 64 HARDCORE,1.0.3 Everdrive,Erableto,120,2018-08-29,Super_Mario_64_HARDCORE_Everdrive,
Super Mario 64 HARDCORE,1.0.3,Erableto,120,2018-08-29,Super Mario 64 HARDCORE 1.0.3,
Super Mario 64 HARDCORE,1.1 Everdrive,Erableto,120,2018-08-30,Super Mario 64 HARDCORE Everdrive 300818,
Super Mario 64 HARDCORE,1.1,Erableto,120,2018-08-30,Super Mario 64 HARDCORE 300818,
Super Mario 64 Improved,5.0,SKG3,120,,Super Mario 64 Improved v5,
Super Mario 64 J Drunk Mario,1.0,ProjectRevoTTP,,,Super Mario 64 J Drunk Mario,
Super Mario King Bob-omb's Revenge,1.0,Fares242,32,2016-06-24,Super Mario King Bob-ombs Revenge,
Super Mario 64 King Boo's Revenge,1.2,thebloody7,168,2017-02-04,Super Mario 64 King Boos Revenge 1.2,
Super Mario 64 King Boo's Revenge,1.2 Parallel Lakitu Camera,thebloody7,168,2017-02-04,Super Mario 64 King Boos Revenge 1.2 parac,
Super Mario 64 King Boo's Revenge,1.5,thebloody7,168,2017-02-04,Super Mario 64 King Boos Revenge 1.5,
Super Mario 64 King Boo's Revenge,1.6,thebloody7,168,2017-02-04,Super Mario 64 King Boos Revenge 1.6,
Super Mario 64 King Boo's Revenge,1.7.1,thebloody7,168,2017-02-04,Super Mario 64 King Boos Revenge 1.7.1,
Super Mario 64 Lagless Mod,1.0,redd,,,sm64.u.f3dex,
Super Mario 64 Land,1.0,Kaze,131,2019-11-10,Super Mario 64 Land,
Super Mario 64 Land,1.01,Kaze,131,2019-11-10,Super Mario 64 Land v1.01,
Super Mario 64 Land,1.1,Kaze,131,2019-11-10,Super Mario 64 Land v1.1,
Super Mario 64 Land,1.0 Console Compatible,Kaze & SKG3,131,,Super Mario 64 Land CONSOLE,
Super Mario 64 LentiLevels,Demo 3,TheLentiLP,,,Super Mario 64 LentiLevels Demo 3,
Super Mario 64 LentiLevels,Demo 2?,TheLentiLP,,,Super Mario 64 LentiLevels Possible Demo 2,
Super Mario 64 LentiLevels,,TheLentiLP,92,2020-02-15,SM64 LentiLevels,
Super Mario 64 Lost Worlds,1.0,NormalX71,120,,Super Mario 64 lost worlds,
Super Mario 64 Machinima ROM,Green Screen,,,,Super Mario 64 Machinima ROM Green Screen ROM,
Super Mario 64 Machinima ROM,No Logo,,,,Super Mario 64 Machinima ROM No Logo,
Super Mario 64 Mania,Demo 1.1,KarpaRT,,,SM64 Mania Demo 1.1,
Super Mario 64 Mania,1.0,KarpaRT,13,2019-01-19,SM64 MANIA by KarpaRT,
Super Mario 64 Missing Stars,1.0,hop193,,,Super Mario 64 Missing Stars,
Super Mario 64 Multiplayer Splitscreen,Final,Kaze,120,,SM64 Multiplayer Splitscreen,
Super Mario 64 Nightmare Edition,1.0,RELISH the Snowman,,,Super Mario 64 Nightmare Edition,
Super Mario 64 Peach's Memory - Cut Out Level 1,1.0,Daniel_EDC,,,SM64PM cut level 1,
Super Mario 64 Peach's Memory,Beta 2,Daniel_EDC,,,Super Mario 64 Peachs Memory Daniel EDC Beta 2,
Super Mario 64 Peach's Memory,1.0.1,Daniel_EDC,60,2019-08-21,Super Mario 64 Peachs Memory Daniel_EDC,
Super Mario 64 Peach's Memory,1.0,Daniel_EDC,60,2019-08-21,Super Mario 64 Peachs Memory Daniel_EDC v1.0,
Super Mario 64 Peach's Memory,1.1,Daniel_EDC,60,2019-08-21,Super Mario 64 Peachs Memory v1.1,
Super Mario 64 Peach's Memory Cut Out Levels,1.0,Daniel_EDC,35,,Super Mario 64 Peachs Memory Cut Levels Daniel_EDC,
Super Mario 64 Racing,1.0,Kaze,4,2018-10-05,SM64 Racing,
Super Mario 64 Remastered,1.5,Erableto,,,Super Mario 64 Remastered [v1.5],
Super Mario 64 Remastered,1.6,Erableto,,,Super Mario 64 Remastered [v1.6],
Super Mario 64 Remastered,1.7.1,Erableto,,,Super Mario 64 Remastered [v1.7 newer],
Super Mario 64 Remastered,1.7,Erableto,,,Super Mario 64 Remastered [v1.7],
Super Mario 64 Remixed,1.1,Zeroplay,120,,Super Mario 64 Remixed V1.1,
Super Mario 64 Requiem,1.0,,,,Super Mario 64 Requiem,
Super Mario 64 Revenge of the Shy Guys!,Beta,Camden1101,,,Super Mario 64 Revenge Of The Shy Guys! beta,
